테마명,종목 목록,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국내 상장 중국기업,오가닉티코스메틱,컬러레이,이스트아시아홀딩스,헝셩그룹,씨엑스아이,로스웰,피델릭스,크리스탈신소재,윙입푸드,글로벌에스엠,GRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전선,일진전기,대원전선,LS마린솔루션,LS에코에너지,LS,가온전선,KBI메탈,대한전선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
반도체 대표주(생산),삼성전자,SK하이닉스,DB하이텍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조선,한화오션,HD한국조선해양,삼성중공업,HD현대중공업,HD현대미포,대한조선,HJ중공업,동일스틸럭스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화장품,오가닉티코스메틱,한국화장품,컬러레이,아우딘퓨쳐스,코리아나,청담글로벌,메타랩스,토니모리,한국화장품제조,리더스코스메틱,에이피알,지놈앤컴퍼니,파마리서치,헝셩그룹,실리콘투,셀바이오휴먼텍,마녀공장,삐아,글로본,선진뷰티사이언스,뷰티스킨,코스메카코리아,아모레퍼시픽,아모레퍼시픽홀딩스,엘앤씨바이오,에이블씨엔씨,잇츠한불,신세계인터내셔날,브이티,본느,현대바이오랜드,엔에프씨,피엔케이피부임상연구센타,클래시스,클리오,펌텍코리아,씨티케이,아이패밀리에스씨,세화피앤씨,제이투케이바이오,네오팜,에코글로우,바이오비쥬,코스맥스,한국콜마,뉴키즈온,셀로맥스사이언스,제이준코스메틱,HLB글로벌,제닉,강스템바이오텍,LG생활건강,씨앤씨인터내셔널,더라미,디와이디,에스씨엠생명과학,내츄럴엔도텍,콜마비앤에이치,애경산업,슈피겐코리아,코웨이,달바글로벌,제로투세븐,휴엠앤씨,승일,오상자이엘,콜마홀딩스,에스엠씨지,코디,모아라이프플러스,넥스트아이,씨큐브,HLB펩,대봉엘에스,잉글우드랩,케이엠제약,동구바이오제약,네이처셀,현대바이오,라파스,국제약품,에이에스텍,바른손,지에프씨생명과학,CSA,코스믹,미원상사,프롬바이오,인스코비,케어젠,파미셀,인크레더블버즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
요소수,유니온머티리얼,유니온,TKG휴켐스,롯데정밀화학,KG케미칼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFID(NFC 등),에이스테크,엑스큐어,SK스퀘어,삼성전자,에스넷,유비벨록스,제이케이시냅스,빅텍,SK,에이텍모빌리티,KT,이루온,파트론,코나아이,누리플렉스,쓰리에이로직스,아모텍,에이루트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자동차 대표주,현대차,기아,KG모빌리티,현대위아,현대모비스,HL만도,한온시스템,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우주항공산업(누리호/인공위성 등),한화시스템,LK삼양,켄코아에어로스페이스,에이치브이엠,스피어,대한항공,퍼스텍,한국항공우주,쎄트렉아이,LIG넥스원,한화,한화에어로스페이스,AP위성,이수페타시스,현대로템,컨텍,이노스페이스,제노코,인텔리안테크,에스에프에이,파이버프로,상아프론테크,루미르,한양이엔지,덕산하이메탈,서남,태웅,한글과컴퓨터,비츠로테크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유심(USIM),엑스큐어,유비벨록스,성우전자,옴니시스템,이루온,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
통신장비,에이스테크,빛과전자,이노인스트루먼트,텔콘RF제약,에치에프알,케이엠더블유,RFHIC,오이솔루션,LS마린솔루션,삼지전자,라이콤,AP위성,이노와이어리스,기산텔레콤,웨이브일렉트로,옵티코어,인텔리안테크,오늘이엔엠,머큐리,빛샘전자,한울소재과학,유비쿼스,와이어블,파이오링크,쏠리드,CS,다보링크,주성코퍼레이션,자람테크놀로지,휴먼테크놀로지,우리로,우리넷,센서뷰,서진시스템,다산네트웍스,알엔투테크놀로지,쏘닉스,한국첨단소재,피노,코위버,에프알텍,RF머트리얼즈,웨이비스,기가레인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엔젤산업,오가닉티코스메틱,헝셩그룹,SAMG엔터,삼성출판사,네오팜,뉴키즈온,오로라,예림당,캐리소프트,정상제이엘에스,남양유업,매일유업,손오공,제로투세븐,대교,삼익악기,토박스코리아,웅진씽크빅,메디앙스,아가방컴퍼니,꿈비,대원미디어,모나미,에르코스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 하반기 신규상장,삼익제약,프로티나,뉴로핏,아우토크립트,엔알비,뉴키즈온,에스투더블유,삼성스팩10호,디비금융제14호스팩,제이피아이헬스케어,KB제32호스팩,하나35호스팩,KB제33호스팩,대신밸류리츠,교보18호스팩,엘에스스팩1호,대한조선,에스엔시스,삼성스팩11호,지투지바이오,도우인시스,삼양컴텍,한라캐스트,그래피,싸이닉솔루션,오아,명인제약,뉴엔AI,애드포러스,아이티켐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
면세점,토니모리,JTC,신세계,호텔신라,현대백화점,글로벌텍스프리,한국정보통신,HDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
